accession,experiment.accession,experiment.title,experiment.platform,experiment.instrument,study.accession,study.title,study.abstract,sample.accession,sample.title,sample.organism,sample.attributes.source_name,sample.attributes.cell line,sample.attributes.ENA-FIRST-PUBLIC,sample.attributes.ENA-LAST-UPDATE,title,files,sample.attributes.cell type,sample.attributes.genotype,sample.attributes.age,sample.attributes.Sex,sample.attributes.tissue,sample.attributes.ENA-SPOT-COUNT,sample.attributes.ENA-BASE-COUNT,sample.attributes.protocol,sample.attributes.location,sample.attributes.strain
SRR12507504,SRX8998538,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251319,1_iPS,Homo sapiens,induced pluripotent stem cell,"Human iPS cell line, 1231A3",2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12507504/SRR12507504.fastq.gz', 'md5': 'e1d61b64bf8d605e943364d49faccb0f', 'size': '20300987846'}]",,,,,,,,,,
SRR17818973,SRX13980709,NextSeq 500 paired end sequencing; GSM5848676: 29806 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818032,29806 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848676: 29806 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/073/SRR17818973/SRR17818973.fastq.gz', 'md5': '20e942b62ec10f471cea18d09a393a94', 'size': '5963397085'}]",Primary cell,Wild type,,,,,,,,
SRR17818974,SRX13980708,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818031,21202 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/074/SRR17818974/SRR17818974.fastq.gz', 'md5': 'ad4cc0ed9da97545574cd2ad1154bf5e', 'size': '6102431836'}]",Primary cell,Wild type,,,,,,,,
SRR17818975,SRX13980708,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818031,21202 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/075/SRR17818975/SRR17818975.fastq.gz', 'md5': '7288d480dad9304ccbcb0f1251d89a1e', 'size': '6141553107'}]",Primary cell,Wild type,,,,,,,,
SRR17818976,SRX13980708,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818031,21202 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/076/SRR17818976/SRR17818976.fastq.gz', 'md5': 'f636a4aeaee0479194d41235c9e749e8', 'size': '6145205179'}]",Primary cell,Wild type,,,,,,,,
SRR17818977,SRX13980708,NextSeq 500 paired end sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818031,21202 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848675: 21202 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/077/SRR17818977/SRR17818977.fastq.gz', 'md5': '71e39fe049afabf2256298b1b43f6067', 'size': '6213816161'}]",Primary cell,Wild type,,,,,,,,
SRR17818978,SRX13980707,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818030,20696 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/078/SRR17818978/SRR17818978.fastq.gz', 'md5': '57220c6fa70772b72d6ea73079b2b43f', 'size': '4290451241'}]",Primary cell,Wild type,,,,,,,,
SRR17818979,SRX13980707,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818030,20696 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/079/SRR17818979/SRR17818979.fastq.gz', 'md5': '2f492bbc11a4d493cacd821b474bb212', 'size': '4429060772'}]",Primary cell,Wild type,,,,,,,,
SRR17818980,SRX13980707,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818030,20696 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/080/SRR17818980/SRR17818980.fastq.gz', 'md5': '7a2b119bdd6fe1e4fdfcd13a5239bf6e', 'size': '4353100303'}]",Primary cell,Wild type,,,,,,,,
SRR17818981,SRX13980707,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818030,20696 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848674: 20696 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/081/SRR17818981/SRR17818981.fastq.gz', 'md5': 'a059754978c71fcfdcbb5af291eeb68a', 'size': '4505802337'}]",Primary cell,Wild type,,,,,,,,
SRR17818982,SRX13980706,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818029,20082 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/082/SRR17818982/SRR17818982.fastq.gz', 'md5': 'b9d5aef87716795276098ec2bc52f5d3', 'size': '5438883368'}]",Primary cell,Wild type,,,,,,,,
SRR17818983,SRX13980706,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818029,20082 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/083/SRR17818983/SRR17818983.fastq.gz', 'md5': '930627d74d0b1f7eb8944a6478629785', 'size': '5559279295'}]",Primary cell,Wild type,,,,,,,,
SRR17818984,SRX13980706,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818029,20082 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/084/SRR17818984/SRR17818984.fastq.gz', 'md5': 'fb9887fca5fafb3eff4f7036bf6645fe', 'size': '5455332526'}]",Primary cell,Wild type,,,,,,,,
SRR17818985,SRX13980706,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818029,20082 rhabdomyosarcoma primary patient sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848673: 20082 rhabdomyosarcoma primary patient sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/085/SRR17818985/SRR17818985.fastq.gz', 'md5': 'd98983e45d3f44e8962be00c78e12ecd', 'size': '5572475120'}]",Primary cell,Wild type,,,,,,,,
SRR14854578,SRX11173058,Illumina NovaSeq 6000 paired end sequencing; GSM5390475: SJRHB000026_X1; Homo sapiens; RNA-Seq,ILLUMINA,Illumina NovaSeq 6000,SRP319643,A single-cell/nucleus atlas of pediatric rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most soft tissue sarcoma of childhood and histologically mimics developing skeletal muscle. To better understand RMS, we performed single-cell RNA-seq of one embryonal subtype RMS (ERMS) and one alveolar subtype RMS (ARMS). We expanded our observations by performing single-nucleus RNA-seq of 18 patient tumors (12 ERMS, 6 ARMS). All 18 of these tumors were used to generate orthotopic patient-derived xenografts, and we performed single-cell RNA-seq of all 18 O-PDXs to compare heterogeneity between the original tumor and the patient-derived model. 15 of the O-PDXs underwent lentiviral barcoding, and lineage could be tracked using a separate dial-out PCR step during the single-cell RNA-seq workflow. We performed single-cell RNA-seq of an ex vivo organoid, showing that we can preserve heterogeneity in this model. We expanded our study to the epigenetic level by using single-cell ATAC-sequencing of 7 O-PDXs. Finally, we longitudinally tracked shifts in heterogeneity in an O-PDX model treated with chemotherapy. Overall design: We performed single-cell RNA-seq from 2 patient RMS tumors, 18 O-PDXs, and 1 organoid. Additionally, we performed single-nucleus RNA-seq from 18 patient RMS tumors and single-cell ATAC-seq from 7 O-PDXs. We also provide dialout PCR data from 15 RMS O-PDX that were used for lentiviral barcode experiments to track clonal lineages within O-PDXs.",SRS9231369,SJRHB000026_X1,Homo sapiens,Orthotopic patient-derived xenograft,,2022-04-08,2022-04-08,Illumina NovaSeq 6000 paired end sequencing; GSM5390475: SJRHB000026_X1; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/078/SRR14854578/SRR14854578.fastq.gz', 'md5': 'd2499bc066c06b954144300b0a24a7cc', 'size': '2253904103'}]",,,,,xenograft,,,10x genomics 3' scRNA-seq,,
